Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,266,51,274325.754073920426890
,0,267,51,398012.398066914698575
,0,268,14,479359.388630211760756
,0,269,14,198103.947376554395305
,0,270,14,380955.175751266884618
,0,271,51,132789.305859084619442
,0,272,51,202743.444483982806560
,0,273,51,360911.081108117650729
,0,274,51,258885.901955518696923
,0,275,54,516509.314300410915166
,0,276,26,278563.129341905645560
,0,277,26,310170.854698982497212
,0,278,34,490796.354424095072318
,0,279,54,581850.388923680176958
,0,280,54,239204.682367763947695
,0,281,54,706861.727051717112772
,0,282,14,48359.116504541379982
,0,283,54,356638.179619068570901
,0,284,51,482048.680279090767726
,0,285,14,255583.972094584605657
,0,286,14,108629.324513402461889
,0,287,40,127331.102204145150608
,0,288,14,531187.025307909818366
,0,289,14,632092.443730788771063
,0,290,14,251973.569807973253774
,0,291,41,361775.632492508273572
,0,292,14,696921.069102849811316
,0,293,14,487507.338437542610336
,0,294,54,484212.568440507282503
,0,295,52,455399.550201369449496
,0,296,14,565648.747131244046614
,0,297,40,320673.125099341443274
,0,298,14,145994.429759976890637
,0,299,41,135626.338183542073239
,0,300,52,781070.346666924888268
,0,301,52,427404.002498293353710
,0,302,51,447643.439420662296470
,0,303,54,160909.148609084135387
,0,304,53,459062.566658182593528
,0,305,14,131939.721401562128449
,0,306,40,363440.032042663486209
,0,307,41,184967.316082896024454
,0,308,34,554836.635159354424104
,0,309,54,588127.855579273076728
,0,310,40,607535.520515868673101
,0,311,52,340942.610695016861428
,0,312,52,132214.394965285813669
,0,313,41,223273.338398485124344
,0,314,52,682217.915216753026471
,0,315,41,383143.703507321537472
,0,316,52,393801.807444815116469
,0,317,52,595743.788758811773732
,0,318,34,336164.708980595110916
,0,319,34,403752.050192459835671
,0,320,52,547419.948607902042568
,0,321,26,284491.531906838936266
,0,322,41,500677.966635657998268
,0,323,26,404167.856404280231800
,0,324,54,536429.208546023117378
,0,325,54,236285.023058933584252
,0,326,41,638547.067609886405990
,0,327,34,586259.186269382596947
,0,328,40,682817.945828560157679
,0,329,54,233405.442039408866549
